code,full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
6947,DIGI.COM BERHAD,"DIGI (6947) [s]
DIGI.COM BERHAD Summary",Telecommunications & Media - Main Market,3.930 - 4.880,220.22,24,19.82,19.6,4.20%,51.89,83.95,6,"36,309.3M",Neutral 53.3,Neutral 61.1
2836,CARLSBERG BREWERY MALAYSIA BERHAD,"CARLSBG (2836)
CARLSBERG BREWERY MALAYSIA BERHAD Summary",Consumer Products & Services - Main Market,17.080 - 27.380,153.64,28,90.65,100,3.92%,43.19,648.36,4,"7,790.5M",Neutral 42.9,Oversold 8.2
4162,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,"BAT (4162)
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD Summary",Consumer Products & Services - Main Market,22.460 - 38.680,111.64,22,165.23,155,4.27%,24.5,988.67,4,"10,353.3M",Neutral 53.7,Neutral 61.9
6399,ASTRO MALAYSIA HOLDINGS BERHAD,"ASTRO (6399)
ASTRO MALAYSIA HOLDINGS BERHAD Summary",Telecommunications & Media - Main Market,1.050 - 2.000,79.14,17,8.88,9,6.08%,13.19,105.08,1,"7,717.2M",Neutral 38.9,Oversold 18.8
5077,MALAYSIAN BULK CARRIERS BERHAD,"MAYBULK (5077)
MALAYSIAN BULK CARRIERS BERHAD Summary",Transportation & Logistics - Main Market,0.410 - 0.805,67.11,2,26.38,0,0.00%,1.42,23.9,2,560.0M,Neutral 45.0,Neutral 25.0
5248,BERMAZ AUTO BERHAD,"BAUTO (5248) [s]
BERMAZ AUTO BERHAD Summary",Consumer Products & Services - Main Market,1.800 - 2.480,47.1,10,22.56,15.75,6.70%,4.91,217.05,1,"2,733.2M",Neutral 54.9,Neutral 31.6
9792,SEG INTERNATIONAL BHD,"SEG (9792) [s]
SEG INTERNATIONAL BHD Summary",Consumer Products & Services - Main Market,0.605 - 0.680,45.47,19,3.33,2.7,4.25%,8.67,19.95,3,803.0M,Neutral 54.0,Overbought 83.3
90,ELSOFT RESEARCH BERHAD,"ELSOFT (0090) [s]
ELSOFT RESEARCH BERHAD Summary",Technology - Main Market,0.945 - 3.530,35.24,16,5.99,4.56,4.73%,5.68,11.74,8,642.6M,Neutral 37.6,Oversold 18.8
3006,,NPS (03006),Health Care - Leap Market,0.200 - 0.310,46.14,10,3.23,0.4,1.29%,4.43,7.76,4,46.2M,Neutral 58.2,Overbought 100.0
5099,AIRASIA GROUP BERHAD,"AIRASIA (5099)
AIRASIA GROUP BERHAD Summary",Consumer Products & Services - Main Market,2.300 - 4.050,32.57,4,60.58,64,26.34%,1.31,317.51,1,"8,121.0M",Oversold 27.0,Oversold 3.8
7231,WELLCALL HOLDINGS BERHAD,"WELLCAL (7231) [s]
WELLCALL HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,1.140 - 1.410,30.18,19,6.67,5.3,4.11%,5.84,35.01,4,642.4M,Neutral 57.5,Overbought 83.3
3948,DUTALAND BERHAD,"DUTALND (3948) [s]
DUTALAND BERHAD Summary",Plantation - Main Market,0.435 - 0.630,30,1,46.2,10,18.87%,0.34,2.76,19,448.4M,Neutral 68.4,Neutral 75.0
5102,GUAN CHONG BERHAD,"GCB (5102)
GUAN CHONG BERHAD Summary",Consumer Products & Services - Main Market,1.390 - 3.880,28.24,9,39.41,4,1.08%,2.64,470.96,1,"1,771.8M",Neutral 54.2,Neutral 64.5
3017,,UNIWALL (03017),Construction - Leap Market,0.180 - 0.360,110,8,4.4,0,0.00%,9,3.46,10,131.7M,Overbought 100.0,Neutral 50.0
1961,IOI CORPORATION BERHAD,"IOICORP (1961) [s]
IOI CORPORATION BERHAD Summary",Plantation - Main Market,4.100 - 4.810,26.64,11,38.89,8,1.79%,3.05,125.22,4,"28,029.3M",Neutral 43.7,Neutral 25.0
1818,BURSA MALAYSIA BERHAD,"BURSA (1818)
BURSA MALAYSIA BERHAD Summary",Financial Services - Main Market,6.720 - 8.200,25.69,25,27.75,33.6,4.93%,6.31,68.11,10,"5,498.9M",Neutral 40.0,Neutral 21.4
6351,AMWAY (MALAYSIA) HOLDINGS BERHAD,"AMWAY (6351) [s]
AMWAY (MALAYSIA) HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,5.600 - 8.520,25.12,18,33.16,27.5,4.51%,4.62,591.46,1,"1,002.8M",Neutral 54.0,Neutral 78.3
5139,AEON CREDIT SERVICE (M) BERHAD,"AEONCR (5139)
AEON CREDIT SERVICE (M) BERHAD Summary",Financial Services - Main Market,12.420 - 17.360,23.62,12,139.25,43.56,2.59%,2.86,524.41,3,"4,224.3M",Neutral 50.2,Neutral 63.9
5263,SUNWAY CONSTRUCTION GROUP BERHAD,"SUNCON (5263) [s]
SUNWAY CONSTRUCTION GROUP BERHAD Summary",Construction - Main Market,1.300 - 2.410,24.33,18,11.19,7,3.54%,4.3,174.56,1,"2,559.9M",Neutral 64.1,Neutral 76.9
99,SCICOM (MSC) BERHAD,"SCICOM (0099) [s]
SCICOM (MSC) BERHAD Summary",Industrial Products & Services - Main Market,0.900 - 2.150,23.29,15,6.52,8.5,8.95%,3.39,43.55,2,337.7M,Oversold 23.9,Oversold 3.2
98,BAHVEST RESOURCES BERHAD,"BAHVEST (0098) [s]
BAHVEST RESOURCES BERHAD Summary",Consumer Products & Services - Ace Market,0.325 - 1.420,18.31,6,10.63,0,0.00%,1.07,5.57,11,378.7M,Neutral 46.2,Neutral 46.9
106,REXIT BERHAD,"REXIT (0106)
REXIT BERHAD Summary",Technology - Ace Market,0.525 - 0.750,22.33,18,4.02,3,4.26%,3.92,11.05,6,133.5M,Neutral 62.3,Neutral 35.7
5168,HARTALEGA HOLDINGS BERHAD,"HARTA (5168) [s]
HARTALEGA HOLDINGS BERHAD Summary",Health Care - Main Market,4.520 - 7.450,22.04,33,14.4,8.51,1.80%,7.24,82.57,6,"15,814.8M",Neutral 46.5,Neutral 40.7
8176,ATA IMS BERHAD,"ATAIMS (8176) [s]
ATA IMS BERHAD Summary",Industrial Products & Services - Main Market,1.380 - 1.880,21,19,9.45,0,0.00%,3.89,229.61,1,"2,007.3M",Neutral 52.1,Neutral 75.0
7189,MB WORLD GROUP BERHAD,"MBWORLD (7189) [s]
MB WORLD GROUP BERHAD Summary",Property - Main Market,1.540 - 2.010,20.72,5,32.32,10,6.29%,1.02,182.37,1,250.2M,Neutral 41.8,Oversold 10.0
3301,HONG LEONG INDUSTRIES BERHAD,"HLIND (3301)
HONG LEONG INDUSTRIES BERHAD Summary",Consumer Products & Services - Main Market,8.420 - 12.300,19.96,11,99.59,47,4.43%,2.12,798.1,1,"3,475.8M",Overbought 78.3,Overbought 87.5
