,code,date,news,extract_code,extracted_date
11090,https://www.klsescreener.com/v2/news/stock/0001,"TheStar04 Apr, 2019 08:45am - 2 weeks ago",Scomnet’s bonus issue approved,0001,2019-04-04
11088,https://www.klsescreener.com/v2/news/stock/0001,"TheEdge18 Apr, 2019 14:33pm - 6 days ago","NWP, Omesti, Redtone, Scomnet",0001,2019-04-18
11087,https://www.klsescreener.com/v2/news/stock/0001,"TheEdge24 Apr, 2019 06:21am - 12 hours ago","Supercomnet at higher high, says AllianceDBS Research",0001,2019-04-24
10399,https://www.klsescreener.com/v2/news/stock/0002,"TheEdge14 Mar, 2019 00:37am - 1 month ago","HDC signs MoU with Korean agency to enhance halal bilateral trade, investment",0002,2019-03-14
10400,https://www.klsescreener.com/v2/news/stock/0002,"TheEdge13 Mar, 2019 01:52am - 1 month ago",Malaysia's first and biggest-Korean themed retail zone opens in 1 Utama,0002,2019-03-13
9183,https://www.klsescreener.com/v2/news/stock/0005,"TheEdge15 Mar, 2019 13:55pm - 2 days ago","OCK, Ucrest, Orion, Bahvest, Tri-Mode, IWCity, Hiap Teck, Marine & General, Can-One, SeaLink, Tambun Indah, BFood, PCCS, Master-Pack, Uzma, Eden, Taliworks, Sinmah Cap",0005,2019-03-15
9212,https://www.klsescreener.com/v2/news/stock/0005,"TheStar22 Apr, 2019 12:14pm - 2 days ago","Inova Solutions, Inova Care form regional alliance with UCrest",0005,2019-04-22
4800,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge19 Mar, 2019 13:46pm - 3 weeks ago",投资者情绪转淡 拖累马股回落,0007,2019-03-19
4799,https://www.klsescreener.com/v2/news/stock/0007,"Sinchew25 Mar, 2019 09:45am - 2 weeks ago",延续上周走势‧马股早盘低迷,0007,2019-03-25
4798,https://www.klsescreener.com/v2/news/stock/0007,"Sinchew27 Mar, 2019 11:29am - 2 weeks ago",PUC与Laputa Ventures合约改为非独家性质,0007,2019-03-27
4797,https://www.klsescreener.com/v2/news/stock/0007,"TheEdge04 Apr, 2019 14:00pm - 6 days ago","Off-Market Trades: PLS Plantations Bhd, PUC Bhd, Tasek Corp Bhd, United Plantations Bhd, KIP Real Estate Investment Trust, Widad Group Bhd",0007,2019-04-04
